LOCALIDAD;PROVINCIA;ESPECIE DE ANURO;Acinetobacter iwoffii;Aeromonas bestiarum;Bacillus infantis;Bacillus pumilus;Bacillus siralis;Comamonas testosteroni;Corynebacterium striatum;Chryseobacterium joostei;Delftia acidovorans;Kluyvera ascorbata;Lactobacillus curvatus                   ;Lactobacillus jensenii;Lelliottia amnigena;Pantoea agglomerans;Proteus mirabilis;Providencia rettgeri;Pseudarthrobacter oxydans;Pseudomonas antarctica;Pseudomonas azotoformans                                       ;Pseudomonas brassicacearum;Pseudomonas chlororaphis;Pseudomonas extremorientalis;Pseudomonas fluorescens;Pseudomonas japonica;Pseudomonas jensenii;Pseudomonas kilonensis;Pseudomonas orientalis           ;Pseudomonas rhodesiae;Pseudomonas taetrolens;Pseudomonas thivervalensis;Rahnella aquatilis;Serratia liquefaciens                                                            ;Serratia marcescens;Staphylococcus xylosus
Padmi - UNL;Zamora;Adenomera hylaedactyla;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Wapú;Morona Santiago;Chiasmocleis bassleri;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Guangarcucho;Azuay;Ctenophryne aequatorialis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Guangarcucho;Azuay;Ctenophryne aequatorialis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
Guangarcucho;Azuay;Ctenophryne aequatorialis;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Wapú;Morona Santiago;Dendropsophus bifurcus;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Guangarcucho;Azuay;Gastrotheca cuencana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0
Guangarcucho;Azuay;Gastrotheca cuencana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0
Lazareto;Azuay;Gastrotheca cuencana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0
Laguna de Guabizhun;Cañar;Gastrotheca cuencana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0
Quimsacocha;Azuay;Gastrotheca pseustes;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Lazareto;Azuay;Hyloxalus vertebralis;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1
Lazareto;Azuay;Hyloxalus vertebralis;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Laguna de Guabizhun;Cañar;Hyloxalus vertebralis;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Parque colinar Pucará;Loja;Lithobates catesbeianus;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Parque colinar Pucará;Loja;Lithobates catesbeianus;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Criadero - Piuntza;Zamora;Lithobates catesbeianus;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
Cerca al límite provincial;Zamora;Pristimantis andinognomus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Abra del Zamora;Loja;Pristimantis balionotus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Abra del Zamora;Loja;Pristimantis colodactylus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Wapú;Morona Santiago;Pristimantis conspicillatus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Wapú;Morona Santiago;Pristimantis conspicillatus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Wapú;Morona Santiago;Pristimantis conspicillatus;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Padmi - UNL;Zamora;Pristimantis conspicillatus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
Padmi - UNL;Zamora;Pristimantis diadematus;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0
Chanlud;Azuay;Pristimantis erythros;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
Chanlud;Azuay;Pristimantis erythros;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0
Chanlud;Azuay;Pristimantis lutzae;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
Chanlud;Azuay;Pristimantis lutzae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Abra del Zamora;Loja;Pristimantis matildae;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abra del Zamora;Loja;Pristimantis samaniegoi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abra del Zamora;Loja;Pristimantis versicolor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Cerca al límite provincial;Zamora;Pristimantis vidua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Wapú;Morona Santiago;Scinax cruentommus;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
